sensitive_feature,proxy_candidate,correlation,abs_correlation
sex,relationship,0.6487043848262715,0.6487043848262715
sex,marital-status,0.4649752258554875,0.4649752258554875
sex,occupation,0.4357298283027689,0.4357298283027689
sex,hours-per-week,0.23142463221122025,0.23142463221122025
sex,workclass,0.1439467341337076,0.1439467341337076
race,relationship,0.09685243091695701,0.09685243091695701
sex,age,0.08205334752213159,0.08205334752213159
race,occupation,0.08185901926949349,0.08185901926949349
race,marital-status,0.08183617265481925,0.08183617265481925
race,workclass,0.059640777694887494,0.059640777694887494
sex,capital-gain,0.04744426329929615,0.04744426329929615
sex,capital-loss,0.04645734400844756,0.04645734400844756
race,hours-per-week,0.044738089134711403,0.044738089134711403
race,education-num,0.03165465110193648,0.03165465110193648
race,fnlwgt,-0.02918766816240719,0.02918766816240719
sex,fnlwgt,0.027239886295330133,0.027239886295330133
race,age,0.023776281310639306,0.023776281310639306
race,capital-loss,0.020954572365547104,0.020954572365547104
race,capital-gain,0.014077876028308043,0.014077876028308043
sex,education-num,0.003417271846690683,0.003417271846690683
